Price,Close,High,Low,Open,Volume
Ticker,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA
Date,,,,,
2010-01-04,6.995039939880371,7.0080055560179915,6.933452297200557,6.96910870760513,922750
2010-01-05,7.050144672393799,7.050144672393799,6.949660177248861,6.952901388208752,1202500
2010-01-06,6.978835105895996,7.085802822015259,6.917247445628271,7.0306975852571165,1185125
2010-01-07,7.0242156982421875,7.056630136729192,6.969111230096399,7.001525668583403,544250
2010-01-08,6.9658684730529785,7.037180538947367,6.943178445909556,7.001524892410717,1078125
2010-01-11,6.84593391418457,7.020971676672646,6.84593391418457,7.001523637479154,939000
2010-01-12,6.839451789855957,6.888073827503132,6.764898514011001,6.888073827503132,1735375
2010-01-13,6.77462100982666,6.871864284859098,6.700067755019705,6.868623074204272,1146375
2010-01-14,6.742208957672119,6.85241865975282,6.7195189294610955,6.7746233940908835,741500
2010-01-15,6.628757476806641,6.774622024798249,6.589859851837695,6.774622024798249,722250
2010-01-18,6.644965171813965,6.644965171813965,6.586619499573408,6.644965171813965,633625
2010-01-19,6.69034481048584,6.69034481048584,6.531514634240781,6.628757930497786,800250
2010-01-20,6.683864116668701,6.683864116668701,6.534757535941197,6.674139707245496,617750
2010-01-21,6.683864116668701,6.726002966562179,6.550964369765723,6.716278557138975,821875
2010-01-22,6.735723972320557,6.735723972320557,6.5606854639737495,6.648205104557568,1504625
2010-01-26,6.6773810386657715,6.6773810386657715,6.576896503260214,6.58662091285704,891625
2010-01-27,6.628757476806641,6.7065519539235625,6.583376656735882,6.589859851837695,864250
2010-01-28,6.612550735473633,6.687104011146336,6.573653878266833,6.687104011146336,763625
2010-01-29,6.557444095611572,6.677377384579234,6.4990984427805625,6.641721750783662,919625
2010-02-01,6.563929557800293,6.593102007886965,6.482893085108011,6.589860796282019,835750
2010-02-02,6.450476169586182,6.628755877245867,6.450476169586182,6.583375068125784,933750
2010-02-03,6.463443279266357,6.499099692740474,6.44075325586699,6.482892091557519,1043000
2010-02-04,6.337027549743652,6.47640968267207,6.265715491214808,6.466685275926273,1770125
2010-02-05,6.401854038238525,6.431026861244535,6.21385032772657,6.265713167116183,1979750
2010-02-08,6.418064117431641,6.46668576845333,6.317579217422601,6.35323524940272,1181875
2010-02-09,6.382406711578369,6.463442779170743,6.333785071022945,6.427787141276369,1400000
